Employer,Title,City,State/Country,Headquarters,Lat,Long,Sector
Susquehanna International Group,Technology Associate,Bala Cynwyd,PA,"Bala Cynwyd, PA",40.013142,-75.230404,Financial Services
Tower Research Capital LLC,Software Engineer,Metropolitan New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
WalkMe,Implementation Analyst,Metropolitan New York City,NY,"San Francisco, CA",37.774929,-122.419416,Technology
Workday,Application Developer (2),Pleasanton,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
Workday,Associate Application Developer,Pleasanton,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
Workday,Associate Software Engineer,Pleasanton,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
Workday,Software Engineer (2),Pleasanton,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
Amazon,Software Development Engineer (2),Seattle,WA,"Seattle, WA",47.606209,-122.332071,Technology
Amazon,Software Engineer (3),Seattle,WA,"Seattle, WA",47.606209,-122.332071,Technology
Amazon,Software Engineer (2),San Francisco,CA,"Seattle, WA",47.606209,-122.332071,Technology
AOE Hewitt/McLagan,Health and Benefits Specialist-Actuarial,Seattle,WA,"Seattle, WA",47.606209,-122.332071,Technology
Applied Predictive Technologies,Front End Software Engineer,Baltimore,MD,"Arlington, VA",38.87997,-77.10677,Technology
Arista Networks,Software Developer,San Francisco,CA,"Santa Clara, CA",37.354108,-121.955236,Technology
AT&T,Associate Software Developer,Dallas,TX,"Dallas, TX",32.776664,-96.796988,Other
AthenaHealth,Software Developer,Boston,MA,Watertown MA,42.37093,-71.182832,Technology
Autodesk,Developer,San Francisco,CA,"San Rafael, CA",37.973535,-122.531087,Technology
Barclays,Technology Analyst,Singapore,SINGAPORE,"Canary Wharf, London",51.505431,-0.023533,Financial Services
Birchbox Inc.,Software Engineer,New York City,NY,"New York, NY",40.712784,-74.005941,Other
Bloomberg,Financial Software Engineer,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Bloomberg,Software Engineer,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Cisco Systems,Software Engineer,San Jose,CA,"San Jose, CA",37.338208,-121.886329,Technology
Ebay,Software Engineer,New York City,NY,"San Jose, CA",37.338208,-121.886329,Technology
Epic Systems,Software Developer,Madison,WI,"Verona, WI",42.990831,-89.533177,Technology
Facebook,Software Engineer,New York City,NY,"Menlo Park, CA",37.45296,-122.181725,Technology
Facebook,Software Engineer (2),San Francisco,CA,"Menlo Park, CA",37.45296,-122.181725,Technology
Goldman Sachs,Analyst Programmer,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Goldman Sachs,Quantitative Strategist,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Goldman Sachs,Software Developer,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Google,Site Reliability Engineer,Kirkland,WA,"Mountain View, CA",37.386052,-122.083851,Technology
Google,Site Reliability Engineer (2),San Francisco,CA,"Mountain View, CA",37.386052,-122.083851,Technology
Google,Software Development Engineer (6),San Francisco,CA,"Mountain View, CA",37.386052,-122.083851,Technology
Guidewire Software Inc.,Software Engineer,San Francisco,CA,"Foster City, CA",37.558546,-122.271079,Technology
IBM,Software Developer,Cleveland,OH,"Armonk, NY",41.126485,-73.71402,Technology
IBM,Software Engineer,Littleton,MA,"Armonk, NY",41.126485,-73.71402,Technology
Microsoft,Program Manager,Redmond,WA,"Redmond, WA",47.673988,-122.121512,Technology
Microsoft,Software Development Engineer (5),Redmond,WA,"Redmond, WA",47.673988,-122.121512,Technology
MongoDB,Software Engineer,New York City,NY,"New York, NY",40.712784,-74.005941,Technology
"Palantir Technologies, Inc.",Forward Deployed Software Engineering,New York City,NY,"Palo Alto, CA",37.441883,-122.143019,Technology
Plethora,Computational Geometry Engineer,San Francisco,CA,"San Francisco, CA",37.774929,-122.419416,Technology
Quettra,Software Engineer,San Francisco,CA,"New York, NY",40.712784,-74.005941,Technology
Sentrana,Software Engineer,Baltimore,MD,Washington DC,38.907192,-77.036871,Technology
Workday,Associate Application Developer,San Francisco,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
Workday,Associate Software Engineer (3),San Francisco,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
Advanced Micro Devices,Software Engineer 2,Boylston,MA,"Sunnyvale, CA",37.36883,-122.03635,Technology
Amazon,Software Development Engineer (2),Cambridge,MA,"Seattle, WA",47.606209,-122.332071,Technology
Amazon,Software Developer,Seattle,WA,"Seattle, WA",47.606209,-122.332071,Technology
Bloomberg LP,Financial Software Developer,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Broadway Technology,Software Developer,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Charles River Development,Software Engineer,Burlington,MA,"Burlington, MA",42.504716,-71.195621,Financial Services
Citadel LLC,Financial Technology Associate,New York City,NY,"Chicago, IL",41.878114,-87.629798,Financial Services
Facebook,Software Engineer (2),Menio Park,CA,"Menlo Park, CA",37.45296,-122.181725,Technology
Facebook,Software Engineer (2),New York City,NY,"Menlo Park, CA",37.45296,-122.181725,Technology
Google,Software Engineer,Los Angeles,CA,"Mountain View, CA",37.386052,-122.083851,Technology
Google,Software Developer,Mountain View,CA,"Mountain View, CA",37.386052,-122.083851,Technology
Google,Software Engineer (3),Mountain View,CA,"Mountain View, CA",37.386052,-122.083851,Technology
Google,Software Engineer (2),New York City,NY,"Mountain View, CA",37.386052,-122.083851,Technology
Hulu,Software Engineer,Los Angeles,CA,"Los Angeles, CA",34.052234,-118.243685,Technology
IXL Learning,Software Engineer (2),San Mateo,CA,"San Mateo, CA",37.562992,-122.325525,Technology
JP Morgan Chase & Co.,Business Analyst,New York City,NY,"New York, NY",40.712784,-74.005941,Financial Services
Mathworks,Associate Software Analyst,Natick,MA,"Natick, MA",42.277528,-71.346809,Technology
Microsoft,Software Development Engineer,San Francisco,CA,"Redmond, WA",47.673988,-122.121512,Technology
Microsoft,Software Development Engineer (3),Redmond,WA,"Redmond, WA",47.673988,-122.121512,Technology
Microsoft,Software Development Engineer in Test,Redmond,WA,"Redmond, WA",47.673988,-122.121512,Technology
Microsoft,Technical Account Manager,Redmond,WA,"Redmond, WA",47.673988,-122.121512,Technology
Nutanix,Software Developer,San Jose,CA,"San Jose, CA",37.338208,-121.886329,Technology
Palantir Technologies,Data Scientist,Palo Alto,CA,"Palo Alto, CA",37.441883,-122.143019,Technology
Palantir Technologies,Software Engineer (2),Palo Alto,CA,"Palo Alto, CA",37.441883,-122.143019,Technology
Palantir Technologies,Forward Deployed Engineer,New York City,NY,"Palo Alto, CA",37.441883,-122.143019,Technology
Palantir Technologies,Software Engineer,McLean,VA,"Palo Alto, CA",37.441883,-122.143019,Technology
Roblox,Software Engineer,San Mateo,CA,"San Mateo, CA",37.562992,-122.325525,Technology
Samsung Information Systems,Associate Engineer,San Jose,CA,"Seoul, South Korea",37.566535,126.977969,Technology
"Square, Inc.",Software Engineer,San Francisco,CA,"San Francisco, CA",37.774929,-122.419416,Technology
Susquehanna International Group,Technology Associate,Bala Cynwyd,PA,"Bala Cynwyd, PA",40.013142,-75.230404,Financial Services
Tripadvisor,Software Developer,Newton,MA,"Needham, MA",42.280929,-71.237755,Technology
Visual Supply Company,Android Engineer,San Ramon,CA,"Oakland, CA",37.804364,-122.271114,Technology
"Wayfair, LLC",Software Engineer,Boston,MA,"Boston, MA",42.360082,-71.05888,Technology
Workday,Associate Applications Developer,Pleasanton,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
Workday,Software Engineer,Pleasanton,CA,"Pleasanton, CA",37.662431,-121.874679,Technology
