Employer,Sector,City,State,Lat,Long
Microsoft,Technology,Redmond,Washington,47.673988,-122.121513
Moelis & Company,Financial Services,New York,New York,40.759127,-73.971928
MoovWeb,Technology,San Francisco,California,37.791866,-122.394482
"NetApp, Inc.",Technology,Sunnyvale,California,37.411236,-122.011891
NetSuite,Technology,San Mateo,California,37.536738,-122.328461
NodePrime,Technology,San Francisco,California,37.782498,-122.403492
Oracle Corp,Technology,Redwood City,California,37.529408,-122.265966
Palantir Technologies,Technology,Palo Alto,California,37.442611,-122.162074
Palantir Technologies,Technology,Palo Alto,California,37.442611,-122.162074
Pandora,Technology,Oakland,California,37.81028,-122.265998
Pandora,Technology,Oakland,California,37.81028,-122.265998
Pandora,Technology,Oakland,California,37.81028,-122.265998
Pandora ,Technology,Oakland,California,37.81028,-122.265998
Pandora ,Technology,Oakland,California,37.81028,-122.265998
Pandora ,Technology,Oakland,California,37.81028,-122.265998
Pinterest,Technology,San Francisco,California,37.77526,-122.400194
Pinterest,Technology,San Francisco,California,37.77526,-122.400194
Pinterest,Technology,San Francisco,California,37.77526,-122.400194
Pinterest,Technology,San Francisco,California,37.77526,-122.400194
Pivotal Labs,Technology,San Francisco,California,37.781833,-122.403956
PricewaterhouseCoopers LLP,Consulting,New York,New York,40.75266,-73.980064
Proofpoint,Technology,Sunnyvale,California,37.40061,-122.032044
Qualcomm,Technology,San Diego,California,32.895964,-117.195817
Redfin,Other,Seattle,Washington,47.608013,-122.335167
Relay Health,Technology,Atlanta,Georgia,33.749,-84.388
Salesforce.com,Technology,San Francisco,California,37.793846,-122.394847
Salesforce.com,Technology,San Francisco,California,37.793846,-122.394847
Salesforce.com,Technology,San Francisco,California,37.793846,-122.394847
Salesforce.com,Technology,San Francisco,California,37.793846,-122.394847
Samirian Chemical,Other,Campbell,California,37.2872,-121.949959
Shopkick,Technology,Redwood City,California,37.484906,-122.229315
Skybox Imaging,Technology,Mountain View,California,37.408131,-122.074454
Soasta,Technology,Mountain View,California,37.390493,-122.081704
Solution Set,Technology,Palo Alto,California,37.790346,-122.40217
Spiral Devices,Other,Berkeley,California,37.875703,-122.302978
Splunk,Technology,San Francisco,California,37.78274,-122.391297
Splunk,Technology,San Francisco,California,37.78274,-122.391297
Squaretrade,Technology,San Francisco,California,37.782848,-122.398163
Storm8,Technology,Redwood Shores,California,37.534118,-122.258583
Strava,Technology,San Francisco,California,37.780994,-122.395933
Stripe,Technology,San Francisco,California,37.776613,-122.392141
Teamone,Other,Los Angeles,California,33.975102,-118.426168
TellApart,Technology,Burlingame,California,37.578488,-122.349343
Thinktown Education Inc.,Consulting,New York,New York,40.705566,-74.013971
ThoughtWorks,Consulting,Chicago,Illinois,41.881832,-87.623177
ThoughtWorks,Consulting,Chicago,Illinois,41.881832,-87.623177
Trulia,Other,San Francisco,California,37.788898,-122.398104
Trulia,Other,San Francisco,California,37.788898,-122.398104
TubeMogul,Technology,Emeryville,California,37.836526,-122.286189
TubeMogul,Technology,Emeryville,California,37.836526,-122.286189
TubeMogul,Technology,Emeryville,California,37.836526,-122.286189
TubeMogul,Technology,Emeryville,California,37.836526,-122.286189
TubeMogul,Technology,Emeryville,California,37.836526,-122.286189
Turn Inc,Technology,Redwood City,California,37.487992,-122.225096
Turnitin,Technology,Oakland,California,37.810324,-122.266019
Twilio,Technology,San Francisco,California,37.787915,-122.391551
Twilio,Technology,San Francisco,California,37.787915,-122.391551
Twitter,Technology,San Francisco,California,37.776779,-122.416604
Twitter,Technology,San Francisco,California,37.776779,-122.416604
Twitter,Technology,San Francisco,California,37.776779,-122.416604
Uber,Technology,San Francisco,California,37.775223,-122.417517
Uber,Technology,San Francisco,California,37.775223,-122.417517
Unity Technologies,Technology,San Francisco,California,37.787122,-122.403335
Venmo,Technology,New York,New York,40.731378,-74.008601
Vertical Brands,Technology,San Francisco,California,37.780825,-122.395666
Vertigo Software,Technology,Point Richmond,California,37.923847,-122.379552
ViaSat,Technology,Carlsbad,California,33.126856,-117.267149
Vmware,Technology,Palo Alto,California,37.402077,-122.144596
Vmware,Technology,Palo Alto,California,37.402077,-122.144596
Wealthfront,Financial Services,Redwood City,California,37.484906,-122.229282
Wealthfront,Financial Services,Redwood City,California,37.484906,-122.229282
WePay,Technology,Redwood City,California,37.494109,-122.227884
Western Digital,Technology,Irvine,California,33.673013,-117.840851
WibiData,Technology,San Francisco,California,37.764581,-122.411879
Workday,Technology,Pleasanton,California,37.791305,-122.393735
Workday,Technology,Pleasanton,California,37.791305,-122.393735
Workday,Technology,Pleasanton,California,37.791305,-122.393735
Workday,Technology,Pleasanton,California,37.791305,-122.393735
Workday,Technology,Pleasanton,California,37.791305,-122.393735
Workday,Technology,Pleasanton,California,37.791305,-122.393735
Workday,Technology,Pleasanton,California,37.791305,-122.393735
Yahoo!,Technology,Sunnyvale,California,37.417143,-122.025029
Yelp,Technology,San Francisco ,California,37.786675,-122.399883
Yelp,Technology,San Francisco,California,37.786675,-122.399883
Yelp,Technology,San Francisco,California,37.786675,-122.399883
Zazzle,Technology,Redwood City,California,37.510651,-122.201511
Zenefits,Technology,San Francisco,California,37.785349,-122.395377
Zynga,Technology,San Francisco,California,37.770927,-122.403687
Zynga,Technology,San Francisco,California,37.770927,-122.403687
